ID,Last_Name,First_Name,Date_of_Birth,University_Level
45231,Al-Ghamdi,Mohammed,15/05/2005,FR
78456,Al-Otaibi,Abdullah,23/11/2004,SO
12987,Al-Qahtani,Ahmed,08/02/2003,JR
36542,Al-Shehri,Fahad,19/07/2002,SR
89014,Al-Dosari,Khalid,30/09/2005,FR
23678,Al-Harbi,Omar,14/03/2004,SO
67891,Al-Zahrani,Saad,27/06/2003,JR
54123,Al-Malki,Faisal,02/12/2002,SR
90345,Al-Subaie,Turki,18/08/2005,FR
11234,Al-Mutairi,Nasser,05/01/2004,SO
45678,Al-Shamri,Bandar,22/04/2003,JR
78901,Al-Anazi,Sultan,11/10/2002,SR
23456,Al-Ruwaili,Abdulaziz,09/07/2005,FR
56789,Al-Rashidi,Mansour,16/02/2004,SO
34567,Al-Enezi,Saud,28/11/2003,JR
89012,Al-Tamimi,Hamad,03/05/2002,SR
12345,Al-Juhani,Nawaf,21/09/2005,FR
67890,Al-Bishi,Yousef,07/06/2004,SO
43210,Al-Amri,Mishal,14/03/2003,JR
98765,Al-Dossari,Rakan,25/08/2002,SR
21098,Al-Khaldi,Thamer,12/12/2005,FR
65432,Al-Hajri,Badr,19/04/2004,SO
87654,Al-Yami,Naif,06/01/2003,JR
10987,Al-Asiri,Saleh,30/07/2002,SR
54321,Al-Shahrani,Majed,17/10/2005,FR
32109,Al-Qahtani,Ibrahim,24/05/2004,SO
76543,Al-Ghamdi,Saeed,08/02/2003,JR
98701,Al-Otaibi,Waleed,15/09/2002,SR
43215,Al-Harbi,Abdulrahman,03/06/2005,FR
87650,Al-Zahrani,Tariq,20/01/2004,SO
21093,Al-Malki,Hamdan,27/08/2003,JR
65437,Al-Dosari,Anas,14/04/2002,SR
10982,Al-Subaie,Ziyad,01/11/2005,FR
54326,Al-Mutairi,Hani,18/07/2004,SO
32104,Al-Shamri,Adel,05/03/2003,JR
76548,Al-Anazi,Rashid,22/10/2002,SR
98706,Al-Ruwaili,Bader,09/05/2005,FR
43211,Al-Rashidi,Mazen,26/12/2004,SO
87655,Al-Enezi,Osama,13/08/2003,JR
21099,Al-Tamimi,Muhannad,30/03/2002,SR
65433,Al-Juhani,Fawaz,17/06/2005,FR
10988,Al-Bishi,Talal,04/01/2004,SO
54327,Al-Amri,Haitham,21/09/2003,JR
32105,Al-Khaldi,Salman,08/04/2002,SR
76549,Al-Hajri,Ammar,25/11/2005,FR
98707,Al-Yami,Muath,12/07/2004,SO
43212,Al-Asiri,Khattab,29/02/2004,JR
87656,Al-Shahrani,Moaath,16/10/2002,SR
21094,Al-Qahtani,Rayan,03/05/2005,FR
65438,Al-Ghamdi,Aws,20/12/2004,SO
10983,Al-Otaibi,Yasser,07/08/2003,JR
54328,Al-Harbi,Musab,24/03/2002,SR
32106,Al-Zahrani,Hashem,11/06/2005,FR
76544,Al-Malki,Bassam,28/01/2004,SO
98702,Al-Dosari,Sami,15/09/2003,JR
43216,Al-Subaie,Wael,02/04/2002,SR
87651,Al-Mutairi,Ghazi,19/11/2005,FR
21095,Al-Shamri,Raed,06/07/2004,SO
65439,Al-Anazi,Jaber,23/02/2003,JR
10984,Al-Ruwaili,Tameem,10/10/2002,SR
54329,Al-Rashidi,Shaker,27/05/2005,FR
32107,Al-Enezi,Abdulmalik,14/12/2004,SO
76545,Al-Tamimi,Ibraheem,01/08/2003,JR
98703,Al-Juhani,Danah,18/03/2002,SR
43217,Al-Bishi,Meshari,05/06/2005,FR
87652,Al-Amri,Luay,22/01/2004,SO
21096,Al-Khaldi,Yazan,09/09/2003,JR
65434,Al-Hajri,Hazem,26/04/2002,SR
10985,Al-Yami,Abdulelah,13/11/2005,FR
54322,Al-Asiri,Mousa,30/06/2004,SO
32108,Al-Shahrani,Mutlaq,17/02/2003,JR
76546,Al-Qahtani,Feras,04/09/2002,SR
98704,Al-Ghamdi,Nawwaf,21/05/2005,FR
43218,Al-Otaibi,Sattam,08/12/2004,SO
87653,Al-Harbi,Eid,25/07/2003,JR
21097,Al-Zahrani,Mamdouh,12/02/2002,SR
65435,Al-Malki,Ayman,29/06/2005,FR
10986,Al-Dosari,Rami,16/01/2004,SO
54323,Al-Subaie,Sameer,03/08/2003,JR
32101,Al-Mutairi,Fayez,20/03/2002,SR
76547,Al-Shamri,Thabit,07/10/2005,FR
98705,Al-Anazi,Motaz,24/05/2004,SO
43219,Al-Ruwaili,Yousuf,11/01/2003,JR
87657,Al-Rashidi,Hatem,28/08/2002,SR
21091,Al-Enezi,Saif,15/04/2005,FR
65436,Al-Tamimi,Qusai,02/11/2004,SO
10981,Al-Juhani,Tareg,19/06/2003,JR
54324,Al-Bishi,Mohsen,06/01/2002,SR
32102,Al-Amri,Amer,23/07/2005,FR
76541,Al-Khaldi,Bassem,10/02/2004,SO
98708,Al-Hajri,Awad,27/09/2003,JR
43213,Al-Yami,Meshaal,14/05/2002,SR
87658,Al-Asiri,Abdulkareem,01/12/2005,FR
21092,Al-Shahrani,Turky,18/06/2004,SO
65431,Al-Qahtani,Haytham,05/03/2003,JR
10989,Al-Ghamdi,Mansoor,22/10/2002,SR
55231,Al-Otaibi,Saqr,09/05/2005,FR
38456,Al-Harbi,Abdulla,26/11/2004,SO
22987,Al-Zahrani,Mahdi,13/08/2003,JR
46542,Al-Malki,Esam,30/03/2002,SR
99014,Al-Dosari,Safwan,17/06/2005,FR
33678,Al-Subaie,Hatim,04/01/2004,SO
77891,Al-Mutairi,Bander,21/09/2003,JR
64123,Al-Shamri,Adeeb,08/04/2002,SR
80345,Al-Anazi,Talaq,25/11/2005,FR
11235,Al-Ruwaili,Rashed,12/07/2004,SO
55678,Al-Rashidi,Mishary,29/02/2004,JR
88901,Al-Enezi,Sulaiman,16/10/2002,SR
33456,Al-Tamimi,Aref,03/05/2005,FR
66789,Al-Juhani,Bakr,20/12/2004,SO
44567,Al-Bishi,Azzam,07/08/2003,JR
99012,Al-Amri,Nayef,24/03/2002,SR
22345,Al-Khaldi,Othman,11/06/2005,FR
77890,Al-Hajri,Alwaleed,28/01/2004,SO
53210,Al-Yami,Mashari,15/09/2003,JR
88765,Al-Asiri,Maher,02/04/2002,SR
31098,Al-Shahrani,Murad,19/11/2005,FR
75432,Al-Qahtani,Husam,06/07/2004,SO
97654,Al-Ghamdi,Fawzan,23/02/2003,JR
20987,Al-Otaibi,Mubarak,10/10/2002,SR
64321,Al-Harbi,Ihsan,27/05/2005,FR
42109,Al-Zahrani,Ayoub,14/12/2004,SO
86543,Al-Malki,Khamis,01/08/2003,JR
18701,Al-Dosari,Nizar,18/03/2002,SR
53215,Al-Subaie,Mohd,05/06/2005,FR
97650,Al-Mutairi,Firas,22/01/2004,SO
31093,Al-Shamri,Ghalib,09/09/2003,JR
75437,Al-Anazi,Lafi,26/04/2002,SR
18982,Al-Ruwaili,Ayed,13/11/2005,FR
64326,Al-Rashidi,Samih,30/06/2004,SO
42104,Al-Enezi,Thaar,17/02/2003,JR
86548,Al-Tamimi,Jamal,04/09/2002,SR
18706,Al-Juhani,Marwan,21/05/2005,FR
53211,Al-Bishi,Waseem,08/12/2004,SO
97655,Al-Amri,Shabab,25/07/2003,JR
31099,Al-Khaldi,Rayan,12/02/2002,SR
75433,Al-Hajri,Younis,29/06/2005,FR
18988,Al-Yami,Saeed,16/01/2004,SO
64327,Al-Asiri,Asaad,03/08/2003,JR
42105,Al-Shahrani,Khalil,20/03/2002,SR
86549,Al-Qahtani,Baraa,07/10/2005,FR
18707,Al-Ghamdi,Riyad,24/05/2004,SO
53212,Al-Otaibi,Tawfiq,11/01/2003,JR
97656,Al-Harbi,Nabil,28/08/2002,SR
31094,Al-Zahrani,Yousif,15/04/2005,FR
75438,Al-Malki,Mohannad,02/11/2004,SO
18983,Al-Dosari,Humaid,19/06/2003,JR
64328,Al-Subaie,Haydar,06/01/2002,SR
42106,Al-Mutairi,Akram,23/07/2005,FR
86544,Al-Shamri,Samir,10/02/2004,SO
18702,Al-Anazi,Jaafar,27/09/2003,JR
53216,Al-Ruwaili,Noman,14/05/2002,SR
97651,Al-Rashidi,Alaa,01/12/2005,FR
31095,Al-Enezi,Husain,18/06/2004,SO
75439,Al-Tamimi,Anis,05/03/2003,JR
18984,Al-Juhani,Hakim,22/10/2002,SR
64329,Al-Bishi,Yaseen,09/05/2005,FR
42107,Al-Amri,Sohaib,26/11/2004,SO
86545,Al-Khaldi,Rayyan,13/08/2003,JR
18703,Al-Hajri,Muaz,30/03/2002,SR
